Cantidad_de_elementos,Media_de_tiempo_de_ejecucion
100,2.133941650390625
150,4.040431976318359
200,6.728267669677734
250,11.338376998901367
300,30.273151397705078
350,19.968128204345703
400,26.599836349487305
450,38.21234703063965
500,58.75868797302246
550,59.722042083740234
600,70.44463157653809
650,80.61480522155762
700,151.4002799987793
750,173.66433143615723
800,106.66494369506836
850,126.82223320007324
900,131.88934326171875
950,280.8411121368408
1000,186.83714866638184
1050,341.39819145202637
1100,196.4272975921631
1150,413.24548721313477
1200,305.1139831542969
1250,254.56223487854004
1300,288.21582794189453
1350,306.99310302734375
1400,328.1360149383545
1450,342.2736644744873
1500,542.3990726470947
1550,433.7553024291992
1600,448.6403465270996
1650,856.846284866333
1700,583.1864833831787
1750,546.1504459381104
1800,637.7086639404297
1850,607.5176239013672
1900,798.8418579101562
1950,723.4507083892822
2000,657.5554370880127
2050,1017.3617839813232
2100,887.8391265869141
2150,897.1319198608398
2200,979.7049045562744
2250,841.3462162017822
2300,1079.1403770446777
2350,1917.0158386230469
2400,947.8797912597656
2450,990.6748294830322
2500,1182.2936058044434
2550,2054.661703109741
2600,1157.1780681610107
2650,1715.7403469085693
2700,1239.3535614013672
2750,2392.9746627807617
2800,1303.1500816345215
2850,2562.125587463379
2900,1566.5438652038574
2950,1486.368179321289
3000,1482.7386856079102
3050,2004.0997982025146
3100,1698.7825393676758
3150,1880.5799007415771
3200,2200.130558013916
3250,3364.4455909729004
3300,2662.089681625366
3350,1887.4783515930176
3400,1901.0767936706543
3450,2018.3447360992432
3500,2027.6358127593994
3550,2290.415906906128
3600,2141.8766498565674
3650,2199.506664276123
3700,2440.413761138916
3750,3424.8326301574707
3800,2388.011598587036
3850,3018.7692642211914
3900,2504.7863483428955
3950,2588.5435104370117
4000,3774.080228805542
4050,3416.5963649749756
4100,3175.0601768493652
4150,3948.8440990448
4200,3020.620107650757
4250,4573.286581039429
4300,3596.79856300354
4350,4399.185991287231
4400,3674.6047496795654
4450,3300.670289993286
4500,4053.3316612243652
4550,3372.4716186523438
4600,5609.74440574646
4650,3657.1141719818115
4700,3847.483253479004
4750,4180.959367752075
4800,3842.2470092773438
4850,4631.218385696411
4900,4020.0549125671387
4950,4543.598890304565
5000,6120.726490020752
